slug,commonName,scientificName,sources,image,imageCredit,imageLicense,toxicity,plantType
microsorum-thailandicum,Blue Oil Fern,Microsorum thailandicum,https://en.wikipedia.org/wiki/Microsorum|https://powo.science.kew.org/results?q=Microsorum%20thailandicum,plants/microsorum-thailandicum.png,,,,fern
nephrolepis-exaltata-fluffy-ruffles,Fluffy Ruffles Fern,Nephrolepis exaltata 'Fluffy Ruffles',https://en.wikipedia.org/wiki/Nephrolepis_exaltata|https://powo.science.kew.org/results?q=Nephrolepis%20exaltata|https://plants.ces.ncsu.edu/plants/nephrolepis-exaltata/|https://www.foliage-factory.com/nephrolepis-exaltata-fluffy-ruffles,plants/nephrolepis-exaltata-fluffy-ruffles.png,,,,fern
peperomia-orba-pixie-lime,Pixie Lime Peperomia,Peperomia orba 'Pixie Lime',https://en.wikipedia.org/wiki/Peperomia_orba|https://powo.science.kew.org/results?q=Peperomia%20orba,plants/peperomia-orba-pixie-lime.png,,,,foliage
peperomia-albovittata-piccolo-banda,Piccolo Banda Peperomia,Peperomia albovittata 'Piccolo Banda',https://powo.science.kew.org/results?q=Peperomia%20albovittata,plants/peperomia-albovittata-piccolo-banda.png,,,,foliage
begonia-amphioxus,Butterfly Begonia,Begonia amphioxus,https://en.wikipedia.org/wiki/Begonia_amphioxus|https://powo.science.kew.org/results?q=Begonia%20amphioxus,plants/begonia-amphioxus.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-schulzei,Oak Leaf Miniature Begonia,Begonia schulzei,https://powo.science.kew.org/results?q=Begonia%20schulzei,plants/begonia-schulzei.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
alocasia-reginula-black-velvet,Black Velvet Alocasia,Alocasia reginula 'Black Velvet',https://en.wikipedia.org/wiki/Alocasia_reginula|https://powo.science.kew.org/results?q=Alocasia%20reginula|https://www.growalocasia.com/alocasia-black-velvet.html,plants/alocasia-reginula-black-velvet.png,,,"An aroid containing insoluble calcium oxalate crystals. All parts are toxic if ingested, causing oral irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
hyophila-involuta,Star Moss,Hyophila involuta,https://en.wikipedia.org/wiki/Hyophila_involuta|https://powo.science.kew.org/results?q=Hyophila%20involuta|https://ohiomosslichen.org/moss-hyophila-involuta/|https://www.nzpcn.org.nz/flora/species/hyophila-involuta/,plants/hyophila-involuta.png,,,,moss
selaginella-apoda,Meadow Spikemoss,Selaginella apoda,https://en.wikipedia.org/wiki/Selaginella_apoda|https://powo.science.kew.org/results?q=Selaginella%20apoda|https://plants.ces.ncsu.edu/plants/selaginella-apoda/,plants/selaginella-apoda.png,,,,fern-ally
portulacaria-afra,Elephant Bush,Portulacaria afra,https://en.wikipedia.org/wiki/Portulacaria_afra|https://powo.science.kew.org/results?q=Portulacaria%20afra|https://plants.ces.ncsu.edu/plants/portulacaria-afra/,plants/portulacaria-afra.png,,,,succulent
alocasia-baginda-silver-dragon,Silver Dragon Alocasia,Alocasia baginda 'Silver Dragon',https://en.wikipedia.org/wiki/Alocasia_baginda|https://powo.science.kew.org/results?q=Alocasia%20baginda,plants/alocasia-baginda-silver-dragon.png,,,Contains calcium oxalate crystals; causes mouth and throat irritation if ingested. Toxic to cats and dogs.,aroid
alocasia-amazonica-bambino,Bambino Alocasia,Alocasia × amazonica 'Bambino',https://en.wikipedia.org/wiki/Alocasia_%C3%97_amazonica|https://powo.science.kew.org/results?q=Alocasia%20amazonica,plants/alocasia-amazonica-bambino.png,,,Contains calcium oxalate crystals; causes mouth and throat irritation if ingested. Toxic to cats and dogs.,aroid
alocasia-maharani-grey-dragon,Grey Dragon Alocasia,Alocasia maharani 'Grey Dragon',https://en.wikipedia.org/wiki/Alocasia|https://powo.science.kew.org/results?q=Alocasia%20maharani,plants/alocasia-maharani-grey-dragon.png,,,Contains calcium oxalate crystals; causes mouth and throat irritation if ingested. Toxic to cats and dogs.,aroid
thuidium-delicatulum,Fern Moss,Thuidium delicatulum,https://en.wikipedia.org/wiki/Thuidium_delicatulum|https://powo.science.kew.org/results?q=Thuidium%20delicatulum|https://ohiomosslichen.org/moss-thuidium-delicatulum/|https://terrariumtribe.com/terrarium-plants/thuidium-delicatulum-fern-moss/,plants/thuidium-delicatulum.png,,,,moss
acorus-chacosekisho,Chacosekisho Sweet Flag,Acorus gramineus 'Chacosekisho',https://powo.science.kew.org/results?q=Acorus%20gramineus|https://en.wikipedia.org/wiki/Acorus_gramineus,plants/acorus-chacosekisho.png,,,"The rhizome of Acorus species contains beta-asarone, a compound toxic in large doses; avoid ingesting any part and keep away from pets.",foliage
hemigraphis-alternata,Purple Waffle Plant,Hemigraphis alternata,https://powo.science.kew.org/results?q=Hemigraphis%20alternata|https://en.wikipedia.org/wiki/Hemigraphis_alternata|https://costafarms.com/blogs/plant-finder/purple-waffle-plant,plants/hemigraphis-alternata.png,,,,ground-cover
hygrophila-pinnatifida,Hygrophila Pinnatifida,Hygrophila pinnatifida,https://powo.science.kew.org/results?q=Hygrophila%20pinnatifida,plants/hygrophila-pinnatifida.png,,,,foliage
ruellia-makoyana,Monkey Plant,Ruellia makoyana,https://powo.science.kew.org/results?q=Ruellia%20makoyana,plants/ruellia-makoyana.png,,,,foliage
strobilanthes-dyerianus,Persian Shield,Strobilanthes dyerianus,https://powo.science.kew.org/results?q=Strobilanthes%20dyerianus|https://en.wikipedia.org/wiki/Strobilanthes_dyerianus,plants/strobilanthes-dyerianus.png,,,,foliage
ceropegia-woodii,String of Hearts,Ceropegia woodii,https://powo.science.kew.org/results?q=Ceropegia%20woodii|https://en.wikipedia.org/wiki/Ceropegia_woodii,plants/ceropegia-woodii.png,,,"Mildly toxic if ingested, particularly the corm; may cause digestive upset in cats and dogs.",succulent
ceropegia-woodii-string-of-spades,String of Spades,Ceropegia woodii (String of Spades form),https://powo.science.kew.org/results?q=Ceropegia%20woodii|https://en.wikipedia.org/wiki/Ceropegia_woodii,plants/ceropegia-woodii-string-of-spades.png,,,"Mildly toxic if ingested, particularly the corm; may cause digestive upset in cats and dogs.",succulent
alocasia-dragon-scale,Dragon Scale Alocasia,Alocasia baginda 'Dragon Scale',https://powo.science.kew.org/results?q=Alocasia%20baginda,plants/alocasia-dragon-scale.png,,,"Contains insoluble calcium oxalate crystals; all parts are toxic if ingested, causing oral pain, drooling, and vomiting. Toxic to cats and dogs.",aroid
anubias-hastifolia,Hastifolia Anubias,Anubias hastifolia,https://powo.science.kew.org/results?q=Anubias%20hastifolia,plants/anubias-hastifolia.png,,,Contains calcium oxalate crystals; ingestion can cause mouth irritation and digestive upset. Mildly toxic to cats and dogs.,aroid
epipremnum-aureum-global-green,Global Green Pothos,Epipremnum aureum 'Global Green',https://powo.science.kew.org/results?q=Epipremnum%20aureum|https://en.wikipedia.org/wiki/Epipremnum_aureum,plants/epipremnum-aureum-global-green.png,,,"Contains insoluble calcium oxalates; ingestion causes oral irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
philodendron-burle-marx-fantasy,Burle Marx Fantasy Philodendron,Philodendron 'Burle Marx Fantasy',https://powo.science.kew.org/results?q=Philodendron,plants/philodendron-burle-marx-fantasy.png,,,"Contains insoluble calcium oxalate crystals; chewing or ingesting any part causes mouth and throat irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
philodendron-verrucosum,Velvet Leaf Philodendron,Philodendron verrucosum,https://powo.science.kew.org/results?q=Philodendron%20verrucosum|https://en.wikipedia.org/wiki/Philodendron_verrucosum,plants/philodendron-verrucosum.png,,,"Contains insoluble calcium oxalate crystals; chewing or ingesting any part causes mouth and throat irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
philodendron-verrucosum-mini,Mini Velvet Leaf Philodendron,Philodendron verrucosum 'Mini',https://powo.science.kew.org/results?q=Philodendron%20verrucosum,plants/philodendron-verrucosum-mini.png,,,"Contains insoluble calcium oxalate crystals; chewing or ingesting any part causes mouth and throat irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
philodendron-wend-imbe,Wend-Imbe Philodendron,Philodendron 'Wend-Imbe',https://powo.science.kew.org/results?q=Philodendron,plants/philodendron-wend-imbe.png,,,"Contains insoluble calcium oxalate crystals; chewing or ingesting any part causes mouth and throat irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
rhaphidophora-cryptantha,Shingle Plant,Rhaphidophora cryptantha,https://powo.science.kew.org/results?q=Rhaphidophora%20cryptantha,plants/rhaphidophora-cryptantha.png,,,"An aroid containing insoluble calcium oxalate crystals; ingestion causes oral irritation, drooling, and vomiting. Toxic to cats and dogs.",aroid
syngonium-albo,Albo Variegated Arrowhead Plant,Syngonium podophyllum 'Albo',https://powo.science.kew.org/results?q=Syngonium%20podophyllum|https://en.wikipedia.org/wiki/Syngonium_podophyllum,plants/syngonium-albo.png,,,Foliage and sap carry calcium oxalate crystals; ingestion irritates the mouth and digestive tract and the sap can irritate skin. Toxic to cats and dogs.,aroid
syngonium-rayii,Silver Goosefoot Plant,Syngonium rayii,https://powo.science.kew.org/results?q=Syngonium%20rayii,plants/syngonium-rayii.png,,,Foliage and sap carry calcium oxalate crystals; ingestion irritates the mouth and digestive tract and the sap can irritate skin. Toxic to cats and dogs.,aroid
begonia-baik,Begonia baik,Begonia baik,https://powo.science.kew.org/results?q=Begonia%20baik,plants/begonia-baik.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-bipinnatifida,Fern-leaf Begonia,Begonia bipinnatifida,https://powo.science.kew.org/results?q=Begonia%20bipinnatifida,plants/begonia-bipinnatifida.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-cleopatrae,Cleopatra Begonia,Begonia cleopatrae,https://powo.science.kew.org/results?q=Begonia%20cleopatrae|https://plants.ces.ncsu.edu/plants/begonia-cleopatrae/,plants/begonia-cleopatrae.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-conchifolia,Pond Lily Begonia,Begonia conchifolia,https://powo.science.kew.org/results?q=Begonia%20conchifolia|https://www.fuchsia-delhommeau.com/begonia-conchifolia-1.html,plants/begonia-conchifolia.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-dodsoni,Dodson's Begonia,Begonia dodsoni,https://powo.science.kew.org/results?q=Begonia%20dodsoni,plants/begonia-dodsoni.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-elaeagnifolia,Elaeagnus-leaf Begonia,Begonia elaeagnifolia,https://powo.science.kew.org/results?q=Begonia%20elaeagnifolia,plants/begonia-elaeagnifolia.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-foliosa-var-foliosa,Fern-leaf Begonia,Begonia foliosa var. foliosa,https://powo.science.kew.org/results?q=Begonia%20foliosa,plants/begonia-foliosa-var-foliosa.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-glabra-bronze,Bronze Climbing Begonia,Begonia glabra 'Bronze',https://powo.science.kew.org/results?q=Begonia%20glabra,plants/begonia-glabra-bronze.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-longiciliata-sizemoreae,Fringed Begonia Sizemoreae,Begonia longiciliata 'Sizemoreae',https://powo.science.kew.org/results?q=Begonia%20longiciliata,plants/begonia-longiciliata-sizemoreae.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-luzonensis,Luzon Begonia,Begonia luzonensis,https://powo.science.kew.org/results?q=Begonia%20luzonensis,plants/begonia-luzonensis.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-manaus,Manaus Begonia,Begonia manaus,https://powo.science.kew.org/results?q=Begonia%20manaus,plants/begonia-manaus.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-maurandiae-blue,Blue Maurandiae Begonia,Begonia maurandiae 'Blue',https://powo.science.kew.org/results?q=Begonia%20maurandiae,plants/begonia-maurandiae-blue.png,yakovlev.alexey / Wikimedia Commons,CC-BY-SA-2.0,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-prismatocarpa,Prism-fruit Begonia,Begonia prismatocarpa,https://powo.science.kew.org/results?q=Begonia%20prismatocarpa|https://glassboxtropicals.com/begonia-prismatocarpa/,plants/begonia-prismatocarpa.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-pustulata,Blister Begonia,Begonia pustulata,https://powo.science.kew.org/results?q=Begonia%20pustulata|https://lizplants.com/grow/begonia-pustulata,plants/begonia-pustulata.png,Raimond Spekking / Wikimedia Commons,CC-BY-SA-4.0,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-raja,Raja Begonia,Begonia raja,https://powo.science.kew.org/results?q=Begonia%20raja,plants/begonia-raja.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-soli-mutata,Sun-changing Begonia,Begonia soli-mutata,https://powo.science.kew.org/results?q=Begonia%20soli-mutata|https://www.gardenia.net/plant/begonia-soli-mutata,plants/begonia-soli-mutata.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-sutherlandii-saunders-legacy,Saunders Legacy Begonia,Begonia sutherlandii 'Saunders Legacy',https://powo.science.kew.org/results?q=Begonia%20sutherlandii|https://www.rhs.org.uk/plants/524402/begonia-sutherlandii-saunders-s-legacy-(t)/details,plants/begonia-sutherlandii-saunders-legacy.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-turrialbae,Turrialba Begonia,Begonia turrialbae,https://powo.science.kew.org/results?q=Begonia%20turrialbae|https://growtropicals.com/products/begonia-turrialbae,plants/begonia-turrialbae.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
begonia-variabilis,Variable Begonia,Begonia variabilis,https://powo.science.kew.org/results?q=Begonia%20variabilis,plants/begonia-variabilis.png,,,"Begonias contain soluble calcium oxalates, most concentrated in the tubers; ingestion can cause mouth irritation, drooling, and vomiting in cats and dogs.",begonia
cryptanthus-absolute-zero,Absolute Zero Earth Star,Cryptanthus 'Absolute Zero',https://powo.science.kew.org/results?q=Cryptanthus|https://en.wikipedia.org/wiki/Cryptanthus|https://www.chicagobotanic.org/plant-information/plant-finder/cryptanthus-absolute-zero-absolute-zero-earth-star,plants/cryptanthus-absolute-zero.png,,CC0,Leaf edges are finely serrated and can scratch skin during handling; wear gloves when working close to the plant.,bromeliad
neoregelia-fireball,Fireball Neoregelia,Neoregelia 'Fireball',https://powo.science.kew.org/results?q=Neoregelia|https://terrariumtribe.com/terrarium-plants/neoregelia-fireball/,plants/neoregelia-fireball.png,,,Leaf tips are sharp and margins have fine teeth; handle with care to avoid scratches.,bromeliad
geogenanthus-poeppigii,Seersucker Plant,Geogenanthus poeppigii,https://powo.science.kew.org/results?q=Geogenanthus%20poeppigii|https://plantlust.com/plants/58164/geogenanthus-poeppigii/,plants/geogenanthus-poeppigii.png,,,,foliage
eleocharis-radicans,Dwarf Hair Grass,Eleocharis radicans,https://powo.science.kew.org/results?q=Eleocharis%20radicans,plants/eleocharis-radicans.png,,,,ground-cover
drosera-adelae,Lance-Leaf Sundew,Drosera adelae,https://powo.science.kew.org/results?q=Drosera%20adelae|https://en.wikipedia.org/wiki/Drosera_adelae,plants/drosera-adelae.png,,,,carnivorous
drosera-spatulata,Spoon-Leaf Sundew,Drosera spatulata,https://powo.science.kew.org/results?q=Drosera%20spatulata|https://en.wikipedia.org/wiki/Drosera_spatulata,plants/drosera-spatulata.png,,,,carnivorous
equisetum-bogotense,Andean Horsetail,Equisetum bogotense,https://powo.science.kew.org/results?q=Equisetum%20bogotense|https://en.wikipedia.org/wiki/Equisetum_bogotense,plants/equisetum-bogotense.png,,,Stems have sharp silica ridges; the plant also contains alkaloids that are toxic to livestock and may cause digestive upset in pets if eaten in quantity.,fern-ally
aeschynanthus-longicaulis-black-pagoda,Black Pagoda Lipstick Plant,Aeschynanthus longicaulis 'Black Pagoda',https://powo.science.kew.org/results?q=Aeschynanthus%20longicaulis,plants/aeschynanthus-longicaulis-black-pagoda.png,,,,foliage
alsobia-dianthiflora,Lace Flower Vine,Alsobia dianthiflora,https://powo.science.kew.org/results?q=Alsobia%20dianthiflora|https://plants.ces.ncsu.edu/plants/alsobia-dianthiflora/,plants/alsobia-dianthiflora.png,,,,foliage
codonanthe-carnosa,Codonanthe,Codonanthe carnosa,https://powo.science.kew.org/results?q=Codonanthe%20carnosa,plants/codonanthe-carnosa.png,,,,foliage
codonanthe-digna,Codonanthe Digna,Codonanthe digna,https://powo.science.kew.org/results?q=Codonanthe%20digna,plants/codonanthe-digna.png,,,,foliage
deinostigma-tamiana,Miniature Chirita,Deinostigma tamiana,https://powo.science.kew.org/results?q=Deinostigma%20tamiana|https://www.pumpkinbeth.com/2020/10/growing-deinostigma-tamiana,plants/deinostigma-tamiana.png,,,,foliage
episcia-chocolate-velvet,Chocolate Velvet Flame Violet,Episcia 'Chocolate Velvet',https://powo.science.kew.org/results?q=Episcia,plants/episcia-chocolate-velvet.png,,,,foliage
episcia-lilacina,Lilacina Flame Violet,Episcia 'Lilacina',https://powo.science.kew.org/results?q=Episcia,plants/episcia-lilacina.png,,,,foliage
episcia-silver-dust,Silver Dust Flame Violet,Episcia 'Silver Dust',https://powo.science.kew.org/results?q=Episcia,plants/episcia-silver-dust.png,,,,foliage
paradrymonia-campostyla-suriname,Paradrymonia,Paradrymonia campostyla,https://powo.science.kew.org/results?q=Paradrymonia%20campostyla,plants/paradrymonia-campostyla-suriname.png,,,,foliage
sinningia-freckles,Freckles Miniature Sinningia,Sinningia 'Freckles',https://powo.science.kew.org/results?q=Sinningia|https://glassboxtropicals.com/sinningia-freckles/,plants/sinningia-freckles.png,,,,foliage
sinningia-prudence-risley,Prudence Risley Miniature Sinningia,Sinningia 'Prudence Risley',https://powo.science.kew.org/results?q=Sinningia,plants/sinningia-prudence-risley.png,,,,foliage
crepidomanes-minutum,Minute Filmy Fern,Crepidomanes minutum,https://powo.science.kew.org/results?q=Crepidomanes%20minutum|https://www.anotherworldterraria.com/plants/crepidomanes-minutum/,plants/crepidomanes-minutum.png,,,,fern
pogostemon-deccanensis,Indian Pogostemon,Pogostemon deccanensis,https://powo.science.kew.org/results?q=Pogostemon%20deccanensis,plants/pogostemon-deccanensis.png,,,,foliage
monolena-primulaeflora-red,Red Monolena,Monolena primulaeflora 'Red',https://powo.science.kew.org/results?q=Monolena+primulaeflora,plants/monolena-primulaeflora-red.png,,,,foliage
sonerila-cantonensis-vietnam,Vietnam Sonerila,Sonerila cantonensis,https://powo.science.kew.org/results?q=Sonerila+cantonensis|https://siamgreenculture.com/store/p436/Soneriladongii.html,plants/sonerila-cantonensis-vietnam.png,,,,foliage
ficus-thunbergii,Thunberg's Fig,Ficus thunbergii,https://powo.science.kew.org/results?q=Ficus+thunbergii,plants/ficus-thunbergii.png,,,Ficus sap (a milky latex) can irritate skin and mucous membranes; ingestion may cause mild digestive upset. Toxic to cats and dogs.,foliage
ficus-vaccinioides,Berry-Leaf Creeping Fig,Ficus vaccinioides,https://powo.science.kew.org/results?q=Ficus+vaccinioides,plants/ficus-vaccinioides.png,chiuluan / easyscape.com,,Ficus sap (a milky latex) can irritate skin and mucous membranes; ingestion may cause mild digestive upset. Toxic to cats and dogs.,ground-cover
ficus-vilosa,Velvet Creeping Fig,Ficus villosa,https://powo.science.kew.org/results?q=Ficus+villosa,plants/ficus-vilosa.png,,,Ficus sap (a milky latex) can irritate skin and mucous membranes; ingestion may cause mild digestive upset. Toxic to cats and dogs.,vine
ficus-punctata,Spotted Fig,Ficus punctata,https://powo.science.kew.org/results?q=Ficus+punctata,plants/ficus-punctata.png,,,Ficus sap (a milky latex) can irritate skin and mucous membranes; ingestion may cause mild digestive upset. Toxic to cats and dogs.,vine
ficus-pumila-snowflake,Snowflake Creeping Fig,Ficus pumila 'Snowflake',https://powo.science.kew.org/results?q=Ficus+pumila|https://en.wikipedia.org/wiki/Ficus_pumila|https://www.hortmag.com/plants-we-love-2/snowflake-ficus-is-an-easy-and-cheerful-small-houseplant,plants/ficus-pumila-snowflake.png,,,Ficus sap (a milky latex) can irritate skin and mucous membranes; ingestion may cause mild digestive upset. Toxic to cats and dogs.,vine
micranthemum-tweedei,Monte Carlo,Micranthemum tweedei,https://powo.science.kew.org/results?q=Micranthemum+tweedei|https://aquariumbreeder.com/monte-carlo-plant-care-guide-planting-growing-and-propagation/,plants/micranthemum-tweedei.png,,,,ground-cover
anoectochilus-albolineatus,Silver-Veined Jewel Orchid,Anoectochilus albolineatus,https://powo.science.kew.org/results?q=Anoectochilus+albolineatus,plants/anoectochilus-albolineatus.png,,,,orchid
anoectochilus-formosanus,Formosan Jewel Orchid,Anoectochilus formosanus,https://powo.science.kew.org/results?q=Anoectochilus+formosanus|https://en.wikipedia.org/wiki/Anoectochilus_formosanus|https://www.laforestaorchids.com/products/anoectochilus-formosanus,plants/anoectochilus-formosanus.png,,,,orchid
masdevallia-auropurpurea,Gold-Purple Masdevallia,Masdevallia auropurpurea,https://powo.science.kew.org/results?q=Masdevallia+auropurpurea,plants/masdevallia-auropurpurea.png,,,,orchid
masdevallia-floribunda,Floriferous Masdevallia,Masdevallia floribunda,https://powo.science.kew.org/results?q=Masdevallia+floribunda,plants/masdevallia-floribunda.png,,,,orchid
masdevallia-nidifica,Nest Masdevallia,Masdevallia nidifica,https://powo.science.kew.org/results?q=Masdevallia+nidifica,plants/masdevallia-nidifica.png,,,,orchid
pleurothallis-grobyi,Groby's Pleurothallis,Pleurothallis grobyi,https://powo.science.kew.org/results?q=Pleurothallis+grobyi|https://en.wikipedia.org/wiki/Pleurothallis_grobyi|https://kawamotoorchids.com/products/pleurothallis-grobyi-super-miniature-orchid-easy-to-grow-and-bloom-cute,plants/pleurothallis-grobyi.png,,,,orchid
pleurothallis-rubella,Red Pleurothallis,Pleurothallis rubella,https://powo.science.kew.org/results?q=Pleurothallis+rubella,plants/pleurothallis-rubella.png,,,,orchid
restrepia-lansburghi,Lansburg's Restrepia,Restrepia lansburgii,https://powo.science.kew.org/results?q=Restrepia+lansburgii|https://www.orchids.org/grexes/restrepia-muscifera,plants/restrepia-lansburghi.png,,,,orchid
restrepia-muscifera,Fly-Trap Restrepia,Restrepia muscifera,https://powo.science.kew.org/results?q=Restrepia+muscifera|https://www.aos.org/orchids/orchids-a-to-z/letter-r/restrepia.aspx,plants/restrepia-muscifera.png,,,,orchid
scaphosepalum-dodsoni,Dodson's Scaphosepalum,Scaphosepalum dodsoni,https://powo.science.kew.org/results?q=Scaphosepalum+dodsoni,plants/scaphosepalum-dodsoni.png,,,,orchid
stelis-argentata,Silver Stelis,Stelis argentata,https://powo.science.kew.org/results?q=Stelis+argentata,plants/stelis-argentata.png,,,,orchid
bulbophyllum-intersitum,Bulbophyllum Intersitum,Bulbophyllum intersitum,https://powo.science.kew.org/results?q=Bulbophyllum+intersitum,plants/bulbophyllum-intersitum.png,,,,orchid
cirrhopetalum-farreri,Farrer's Cirrhopetalum,Bulbophyllum farreri,https://powo.science.kew.org/results?q=Bulbophyllum+farreri,plants/cirrhopetalum-farreri.png,,,,orchid
haerella-odorata,Fragrant Haraella,Haraella odorata,https://powo.science.kew.org/results?q=Haraella+odorata|https://en.wikipedia.org/wiki/Haraella_odorata,plants/haerella-odorata.png,,,,orchid
peperomia-angulata,Beetle Peperomia,Peperomia angulata,https://powo.science.kew.org/results?q=Peperomia+angulata,plants/peperomia-angulata.png,Assianir / Wikimedia Commons,CC-BY-SA-3.0,,foliage
peperomia-emarginella,Notched-Leaf Peperomia,Peperomia emarginella,https://powo.science.kew.org/results?q=Peperomia+emarginella|https://www.araflora.com/product/peperomia-emarginella/,plants/peperomia-emarginella.png,,,,ground-cover
peperomia-guttalata,Raindrop Peperomia,Peperomia guttulata,https://powo.science.kew.org/results?q=Peperomia+guttulata,plants/peperomia-guttalata.png,,,,foliage
peperomia-puteolata,Parallel Peperomia,Peperomia puteolata,https://powo.science.kew.org/results?q=Peperomia+puteolata|https://houseplantsexpert.com/peperomia-puteolata.html,plants/peperomia-puteolata.png,,,,foliage
peperomia-rubella,Itsy-Bitsy Peperomia,Peperomia rubella,https://powo.science.kew.org/results?q=Peperomia+rubella|https://foliagefriend.com/peperomia-rubella-vs-verticillata/,plants/peperomia-rubella.png,,,,ground-cover
peperomia-serpens,Vining Peperomia,Peperomia serpens,https://powo.science.kew.org/results?q=Peperomia+serpens,plants/peperomia-serpens.png,,,,vine
peperomia-trinervis,Three-Veined Peperomia,Peperomia trinervis,https://powo.science.kew.org/results?q=Peperomia+trinervis|https://houseplants.studleys.com/product/trinervula-peperomia/,plants/peperomia-trinervis.png,,,,foliage
peperomia-verticillata-red-log,Red Log Peperomia,Peperomia verticillata 'Red Log',https://powo.science.kew.org/results?q=Peperomia+verticillata|https://hortology.co.uk/products/peperomia-verticillata-red-log,plants/peperomia-verticillata-red-log.png,,,,foliage
piper-crocatum,Ornate Pepper Vine,Piper crocatum,https://powo.science.kew.org/results?q=Piper+crocatum|https://en.wikipedia.org/wiki/Piper_crocatum,plants/piper-crocatum.png,,,The sap contains irritant compounds; wash hands after handling and avoid touching eyes or mucous membranes.,vine
sphagnum-palustre,Sphagnum Moss,Sphagnum palustre,https://en.wikipedia.org/wiki/Sphagnum_palustre|https://powo.science.kew.org/results?q=Sphagnum+palustre,plants/sphagnum-palustre.png,,,,moss
vesicularia-ferriei,Weeping Moss,Vesicularia ferriei,https://en.wikipedia.org/wiki/Vesicularia_ferriei|https://powo.science.kew.org/results?q=Vesicularia+ferriei,plants/vesicularia-ferriei.png,,,,moss
lemmaphyllum-microphyllum,Coin-Leaf Fern,Lemmaphyllum microphyllum,https://powo.science.kew.org/results?q=Lemmaphyllum+microphyllum|https://www.fancyfrondsnursery.com/ferns/bean-fern-lemmaphyllum-microphyllum,plants/lemmaphyllum-microphyllum.png,,,,fern
pleopeltis-percussa,Wart Fern,Pleopeltis percussa,https://powo.science.kew.org/results?q=Pleopeltis+percussa,plants/pleopeltis-percussa.png,,,,fern
pyrrosia-nummularifolia,Coin-Leaf Tongue Fern,Pyrrosia nummularifolia,https://powo.science.kew.org/results?q=Pyrrosia+nummularifolia|https://www.rhs.org.uk/plants/14219/creeping-button-fern/details,plants/pyrrosia-nummularifolia.png,,,,fern
